scenariusz,instrument,typ,n,win,loss,win_rate,avg_win,avg_loss,profit_factor,zysk_total,avg_czas_min
SC3,DE40,buy,3,2,1,66.7,0.5250,-0.0300,17.5000,1.0200,5.1
SC3,JP225,buy,4,4,0,100.0,0.6400,0.0000,inf,2.5600,88.5
SC3,STOXX50,buy,2,2,0,100.0,6.3000,0.0000,inf,12.6000,374.3
SC3,UK100,buy,7,2,5,28.6,6.1850,-1.7300,3.5751,3.7200,103.6
SC3,US30,buy,4,3,1,75.0,5.3567,-0.7000,7.6524,15.3700,167.4
SC3,US500,buy,4,2,2,50.0,0.8850,-0.0950,9.3158,1.5800,148.1
SC3,USTEC,buy,2,1,1,50.0,44.3700,-1.1100,39.9730,43.2600,749.4
SC2,DE40,buy,3,2,1,66.7,1.8400,-3.4200,0.5380,0.2600,36.4
SC2,JP225,buy,3,3,0,100.0,0.9367,0.0000,inf,2.8100,195.7
SC2,STOXX50,buy,1,0,1,0.0,0.0000,-1.5000,0.0000,-1.5000,58.6
SC2,UK100,buy,8,3,5,37.5,3.9300,-3.2240,1.2190,-4.3300,1295.9
SC2,US30,buy,1,1,0,100.0,0.5800,0.0000,inf,0.5800,114.4
SC2,USTEC,buy,6,3,3,50.0,25.5867,-1.9500,13.1214,70.9100,1710.4
SC7,DE40,sell,6,3,2,50.0,1.5133,-1.4650,1.0330,1.6100,5.9
SC7,JP225,sell,1,1,0,100.0,0.0900,0.0000,inf,0.0900,5.7
SC7,STOXX50,sell,5,3,2,60.0,2.8033,-1.7500,1.6019,4.9100,419.5
SC7,UK100,sell,7,2,5,28.6,1.4450,-0.5720,2.5262,0.0300,48.0
SC7,US30,sell,5,3,2,60.0,5.3400,-2.5550,2.0900,10.9100,49.9
SC7,US500,sell,3,0,3,0.0,0.0000,-0.5800,0.0000,-1.7400,54.2
SC7,USTEC,sell,6,3,3,50.0,3.3467,-1.6500,2.0283,5.0900,56.6
SC12,US500,buy,1,1,0,100.0,3.8900,0.0000,inf,3.8900,253.6
(brak),USTEC,buy,1,1,0,100.0,0.8100,0.0000,inf,0.8100,3.2
SC9,USTEC,buy,1,1,0,100.0,0.0300,0.0000,inf,0.0300,0.0
TEST_OPEN_CLOSE,STOXX50,buy,1,0,1,0.0,0.0000,-0.1000,0.0000,-0.1000,
SC6,DE40,sell,12,5,7,41.7,2.6300,-2.0857,1.2610,-1.4500,22.3
SC6,JP225,sell,2,1,1,50.0,0.4800,-1.1400,0.4211,-0.6600,34.5
SC6,STOXX50,sell,4,2,2,50.0,0.1000,-2.2700,0.0441,-4.3400,1661.5
SC6,UK100,sell,12,6,6,50.0,2.1150,-0.8933,2.3675,7.3300,30.7
SC6,US30,sell,2,1,1,50.0,1.1400,-2.2800,0.5000,-1.1400,31.8
SC6,US500,sell,4,3,1,75.0,0.4467,-0.3300,1.3535,1.0100,6.4
SC6,USTEC,sell,4,1,3,25.0,0.7100,-2.8133,0.2524,-7.7300,13.5
SC5,JP225,sell,3,2,1,66.7,1.2200,-1.4800,0.8243,0.9600,86.8
SC5,STOXX50,sell,2,1,1,50.0,0.7500,-0.0500,15.0000,0.7000,11.6
SC5,UK100,sell,3,0,3,0.0,0.0000,-1.7467,0.0000,-5.2400,16.9
SC5,US30,sell,2,1,1,50.0,1.7900,-10.1100,0.1771,-8.3200,28.0
SC5,US500,sell,1,1,0,100.0,1.4000,0.0000,inf,1.4000,244.7
SC5,USTEC,sell,4,0,4,0.0,0.0000,-2.0625,0.0000,-8.2500,101.2
SC1,DE40,buy,3,1,2,33.3,0.6500,-5.6750,0.1145,-10.7000,24.6
SC1,JP225,buy,1,0,1,0.0,0.0000,-1.7000,0.0000,-1.7000,71.4
SC1,UK100,buy,3,0,3,0.0,0.0000,-2.4700,0.0000,-7.4100,74.2
SC1,US500,buy,1,0,1,0.0,0.0000,-0.2700,0.0000,-0.2700,17.8
SC1,USTEC,buy,1,0,1,0.0,0.0000,-3.8000,0.0000,-3.8000,22.3
